Date,Experiment,Treatment,Sample,Gene,RQ
23-Jan,Gly_exp,Silenced,Gly-7,VDV2,1.055110097
23-Jan,Gly_exp,Silenced,Gly-8,ARV2,1.23785162
23-Jan,Gly_exp,Silenced,Gly-8,DWVa,0.619259179
23-Jan,Gly_exp,Silenced,Gly-8,VDV2,0.779852152
23-Jan,Gly_exp,Silenced,Gly-9,ARV2,2.037338495
23-Jan,Gly_exp,Silenced,Gly-9,DWVa,0.163312688
23-Jan,Gly_exp,Silenced,Gly-9,VDV2,0.983520806
15-Jan,Sar_exp,Silenced,Sar-10,ARV2,1.786315084
14-Jan,Sar_exp,Silenced,Sar-10,DWVa,0.001920311
14-Jan,Sar_exp,Silenced,Sar-10,VDV2,1.189873934
15-Jan,Sar_exp,Silenced,Sar-11,ARV2,1.955590963
14-Jan,Sar_exp,Silenced,Sar-11,DWVa,0.087735295
14-Jan,Sar_exp,Silenced,Sar-11,VDV2,1.173441768
15-Jan,Sar_exp,Silenced,Sar-12,ARV2,0.086856879
14-Jan,Sar_exp,Silenced,Sar-12,DWVa,0.061999768
14-Jan,Sar_exp,Silenced,Sar-12,VDV2,0.895183146
15-Jan,Sar_exp,Silenced,Sar-4,ARV2,0.812474072
14-Jan,Sar_exp,Silenced,Sar-4,DWVa,0.000545378
14-Jan,Sar_exp,Silenced,Sar-4,VDV2,1.186516166
15-Jan,Sar_exp,Silenced,Sar-5,ARV2,2.593848944
14-Jan,Sar_exp,Silenced,Sar-5,DWVa,33.0404892
14-Jan,Sar_exp,Silenced,Sar-5,VDV2,1.343811274
15-Jan,Sar_exp,Silenced,Sar-6,ARV2,1.461667418
14-Jan,Sar_exp,Silenced,Sar-6,DWVa,0.676875353
14-Jan,Sar_exp,Silenced,Sar-6,VDV2,1.013550401
15-Jan,Sar_exp,Silenced,Sar-7,ARV2,1.318932891
14-Jan,Sar_exp,Silenced,Sar-7,DWVa,0.000806891
14-Jan,Sar_exp,Silenced,Sar-7,VDV2,0.78083998
15-Jan,Sar_exp,Silenced,Sar-9,ARV2,3.289829493
14-Jan,Sar_exp,Silenced,Sar-9,DWVa,0.893240452
14-Jan,Sar_exp,Silenced,Sar-9,VDV2,0.998270929
01-Feb,Anl_exp,Control,GFP-30,DWVa,1
01-Feb,Anl_exp,Silenced,Anl-1,DWVa,9099.212891
01-Feb,Anl_exp,Silenced,Anl-9,DWVa,15604.72852
01-Feb,Anl_exp,Control,GFP-31,DWVa,30661.06055
01-Feb,Anl_exp,Silenced,Anl-2,DWVa,3146.342773
01-Feb,Anl_exp,Silenced,Anl-10,DWVa,39.31678391
01-Feb,Anl_exp,Control,GFP-32,DWVa,2160.004395
01-Feb,Anl_exp,Silenced,Anl-3,DWVa,406.15802
01-Feb,Anl_exp,Silenced,Anl-11,DWVa,0.173068568
01-Feb,Anl_exp,Control,GFP-34,DWVa,0.020050079
01-Feb,Anl_exp,Silenced,Anl-4,DWVa,4337.933594
01-Feb,Anl_exp,Silenced,Anl-12,DWVa,9050.484375
01-Feb,Anl_exp,Control,GFP-35,DWVa,0.440740317
01-Feb,Anl_exp,Silenced,Anl-5,DWVa,19123.51563
01-Feb,Anl_exp,Silenced,Anl-13,DWVa,6962.491699
01-Feb,Anl_exp,Control,GFP-36,DWVa,1.825708985
01-Feb,Anl_exp,Silenced,Anl-6,DWVa,17904.56445
01-Feb,Anl_exp,Silenced,Anl-14,DWVa,399.1386414
01-Feb,Anl_exp,Control,GFP-37,DWVa,11700.69824
01-Feb,Anl_exp,Silenced,Anl-7,DWVa,10249.80566
01-Feb,Anl_exp,Silenced,Anl-15,DWVa,15286.9502
01-Feb,Anl_exp,Silenced,Anl-8,DWVa,1673.629028
01-Feb,Anl_exp,Silenced,Anl-16,DWVa,0.13068445
01-Feb,Anl_exp,Control,GFP-30,VDV2,1
01-Feb,Anl_exp,Silenced,Anl-1,VDV2,1.02892077
01-Feb,Anl_exp,Silenced,Anl-9,VDV2,1.29655838
01-Feb,Anl_exp,Control,GFP-31,VDV2,4.278598785
01-Feb,Anl_exp,Silenced,Anl-2,VDV2,1.633862138
01-Feb,Anl_exp,Silenced,Anl-10,VDV2,0.872733295
01-Feb,Anl_exp,Control,GFP-32,VDV2,1.870933175
01-Feb,Anl_exp,Silenced,Anl-3,VDV2,1.714773417
01-Feb,Anl_exp,Silenced,Anl-11,VDV2,1.093863487
01-Feb,Anl_exp,Control,GFP-34,VDV2,1.828165412
01-Feb,Anl_exp,Silenced,Anl-4,VDV2,1.659243941
01-Feb,Anl_exp,Silenced,Anl-12,VDV2,1.206080794
01-Feb,Anl_exp,Control,GFP-35,VDV2,1.104760051
01-Feb,Anl_exp,Silenced,Anl-5,VDV2,1.689451098
01-Feb,Anl_exp,Silenced,Anl-13,VDV2,2.296511173
01-Feb,Anl_exp,Control,GFP-36,VDV2,1.862911582
01-Feb,Anl_exp,Silenced,Anl-6,VDV2,1.845653176
01-Feb,Anl_exp,Silenced,Anl-14,VDV2,2.536607504
01-Feb,Anl_exp,Control,GFP-37,VDV2,1.335704327
01-Feb,Anl_exp,Silenced,Anl-7,VDV2,1.032932043
01-Feb,Anl_exp,Silenced,Anl-15,VDV2,2.093202591
01-Feb,Anl_exp,Silenced,Anl-8,VDV2,1.294508219
01-Feb,Anl_exp,Silenced,Anl-16,VDV2,1.184045792
01-Feb,Anl_exp,Control,GFP-30,ARV2,1
01-Feb,Anl_exp,Silenced,Anl-1,ARV2,0.622153282
01-Feb,Anl_exp,Silenced,Anl-9,ARV2,5.890611172
01-Feb,Anl_exp,Control,GFP-31,ARV2,17.97468185
01-Feb,Anl_exp,Silenced,Anl-2,ARV2,1.284582496
01-Feb,Anl_exp,Silenced,Anl-10,ARV2,3.377095699
01-Feb,Anl_exp,Control,GFP-32,ARV2,1.758777857
01-Feb,Anl_exp,Silenced,Anl-3,ARV2,0.110629253
01-Feb,Anl_exp,Silenced,Anl-11,ARV2,2.451308966
